record_id,state,district,block_taluka,station_location,longitude,latitude,year,month,season,ph,ec_us_cm,tds_mg_l,cl_mg_l,no3_mg_l,so4_mg_l,f_mg_l,total_hardness_mg_l,fe_mg_l,as_ppb,u_ppb,rainfall_mm,rainfall_source,rainfall_year,health_value,health_indicator,health_source,health_year,water_source,water_year,data_availability_status,data_type,rainfall_anomaly,rainfall_change,anomaly_score,abnormal_pattern_flag,risk_score,health_risk_component,water_risk_component,env_risk_component,hist_risk_component,vuln_risk_component,abnormal_risk_component,risk_class
DEMO_REC_0001,Tamil Nadu,Salem,Salem Central,Salem Station-2,78.1911,11.6518,2022,May,Pre-Monsoon,7.46,1733.1,1126.5,168.3,16.6,129.8,1.36,355.8,0.01,8.76,5.36,33.4,Synthetic Environmental Simulation,2022,35,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.71,-77.23,-0.077,0,27.3,0.16,0.08,0.32,0.65,0.35,0.32,LOW
DEMO_REC_0002,Tamil Nadu,Chennai,Chennai Central,Chennai Station-3,80.2819,13.0944,2023,May,Pre-Monsoon,6.99,346.3,225.1,191.1,30.9,93.1,0.87,278.2,0.59,2.85,1.8,52.1,Synthetic Environmental Simulation,2023,32,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.59,-64.48,-0.011,0,26.7,0.14,0.0,0.35,0.65,0.35,0.57,LOW
DEMO_REC_0003,Tamil Nadu,Coimbatore,Coimbatore Central,Coimbatore Station-4,77.0024,11.0617,2024,May,Pre-Monsoon,6.96,1531.6,995.5,148.2,24.9,119.5,0.35,200.7,0.72,0.75,3.26,49.2,Synthetic Environmental Simulation,2024,18,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.61,-66.45,-0.129,0,18.5,0.08,0.07,0.35,0.25,0.35,0.13,LOW
DEMO_REC_0004,Tamil Nadu,Madurai,Madurai Central,Madurai Station-5,78.1668,9.8937,2022,July,Monsoon,6.42,1276.5,829.7,174.2,37.0,109.5,0.88,338.0,0.13,0.82,2.35,271.6,Synthetic Environmental Simulation,2022,55,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,0.78,85.18,-0.058,0,30.6,0.24,0.05,0.7,0.25,0.35,0.39,MODERATE
DEMO_REC_0005,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Central,Tiruchirappalli Station-1,78.6712,10.7701,2023,July,Monsoon,7.18,1103.6,717.3,140.2,4.2,142.3,1.49,212.0,0.28,6.52,3.16,239.3,Synthetic Environmental Simulation,2023,37,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,0.58,63.16,-0.101,0,26.2,0.16,0.03,0.65,0.25,0.35,0.23,LOW
DEMO_REC_0006,Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Visakhapatnam Station-2,83.2351,17.7037,2024,July,Monsoon,7.16,649.0,421.9,196.3,31.6,117.2,1.57,210.0,0.09,0.1,3.72,390.6,Synthetic Environmental Simulation,2024,104,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,1.53,166.32,-0.044,0,44.9,0.46,0.01,0.88,0.65,0.35,0.45,MODERATE
DEMO_REC_0007,Andhra Pradesh,Vijayawada,Vijayawada Central,Vijayawada Station-3,80.6088,16.4587,2022,November,Post-Monsoon,7.23,1095.3,711.9,80.6,21.5,101.3,1.43,167.9,0.08,0.2,1.03,55.0,Synthetic Environmental Simulation,2022,20,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.58,-62.5,-0.153,0,17.5,0.09,0.03,0.36,0.25,0.35,0.04,LOW
DEMO_REC_0008,Andhra Pradesh,Guntur,Guntur Central,Guntur Station-4,80.4083,16.3024,2023,November,Post-Monsoon,7.66,1536.9,999.0,163.6,16.9,89.8,1.66,343.7,0.0,1.09,1.09,18.8,Synthetic Environmental Simulation,2023,84,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.8,-87.18,-0.114,0,31.6,0.37,0.08,0.3,0.65,0.35,0.19,MODERATE
DEMO_REC_0009,Andhra Pradesh,Anantapur,Anantapur Central,Anantapur Station-5,77.5923,14.683,2024,November,Post-Monsoon,7.04,1098.8,714.2,171.7,27.9,186.0,0.85,293.1,1.07,8.21,0.87,6.6,Synthetic Environmental Simulation,2024,70,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.88,-95.5,-0.142,0,21.9,0.31,0.03,0.28,0.25,0.35,0.08,LOW
DEMO_REC_0010,Assam,Kamrup Metropolitan,Kamrup Metropolitan Central,Kamrup Metropolitan Station-1,91.7472,26.0982,2022,May,Pre-Monsoon,7.19,969.3,630.0,170.4,20.1,130.6,0.52,305.5,0.08,2.79,4.3,44.9,Synthetic Environmental Simulation,2022,31,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.64,-69.39,-0.145,0,24.3,0.14,0.02,0.34,0.65,0.35,0.07,LOW
DEMO_REC_0011,Assam,Cachar,Cachar Central,Cachar Station-2,92.7657,24.8561,2023,May,Pre-Monsoon,7.76,1687.3,1096.7,183.8,9.2,85.3,0.36,237.5,0.27,2.83,0.05,14.0,Synthetic Environmental Simulation,2023,110,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.83,-90.45,-0.046,0,29.5,0.49,0.08,0.29,0.25,0.35,0.44,LOW
DEMO_REC_0012,Arunachal Pradesh,Papum Pare,Papum Pare Central,Papum Pare Station-3,93.6641,27.0596,2024,May,Pre-Monsoon,7.23,1349.8,877.4,223.7,44.1,185.5,0.64,309.7,0.06,10.07,2.18,46.3,Synthetic Environmental Simulation,2024,46,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.63,-68.43,-0.122,0,21.2,0.2,0.05,0.34,0.25,0.35,0.16,LOW
DEMO_REC_0013,Kerala,Wayanad,Wayanad Central,Wayanad Station-4,76.1159,11.6987,2022,July,Monsoon,7.4,1654.8,1075.6,192.5,9.3,132.1,1.26,297.0,0.0,0.27,3.27,396.3,Synthetic Environmental Simulation,2022,107,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,1.57,170.21,-0.053,0,41.0,0.48,0.08,0.89,0.25,0.35,0.41,MODERATE
DEMO_REC_0014,Karnataka,Raichur,Raichur Central,Raichur Station-5,77.3268,16.186,2023,July,Monsoon,6.05,918.9,597.3,160.8,19.9,167.0,1.38,224.9,0.11,1.96,2.13,201.3,Synthetic Environmental Simulation,2023,44,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,0.34,37.25,0.032,1,29.0,0.2,0.06,0.59,0.25,0.35,0.73,LOW
DEMO_REC_0015,Maharashtra,Latur,Latur Central,Latur Station-1,76.5497,18.4561,2024,July,Monsoon,7.49,1296.8,842.9,316.7,35.7,123.3,1.04,326.9,0.1,0.06,3.11,242.9,Synthetic Environmental Simulation,2024,31,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,0.6,65.61,-0.098,0,26.1,0.14,0.05,0.65,0.25,0.35,0.25,LOW
DEMO_REC_0016,Tamil Nadu,Salem,Salem Central,Salem Station-2,78.143,11.7138,2022,November,Post-Monsoon,7.44,1077.9,700.6,82.8,30.9,86.8,0.7,235.2,0.2,1.17,1.51,22.0,Synthetic Environmental Simulation,2022,41,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.78,-85.0,-0.14,0,25.0,0.18,0.03,0.3,0.65,0.35,0.09,LOW
DEMO_REC_0017,Tamil Nadu,Chennai,Chennai Central,Chennai Station-3,80.253,13.0622,2023,November,Post-Monsoon,7.76,1357.4,882.3,102.4,62.2,102.1,1.22,191.3,0.02,1.26,0.16,54.9,Synthetic Environmental Simulation,2023,101,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.58,-62.57,-0.049,0,36.6,0.45,0.11,0.36,0.65,0.35,0.43,MODERATE
